@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute eye-model numeric
@attribute region-detector {0,1,2,3,4}

@data
423,'2018/02/16 21:30:18:399',12,376.225555,515.833618,?,?
424,'2018/02/16 21:30:18:902',12,394.00589,310.20163,?,?
425,'2018/02/16 21:30:19:403',12,361.212708,299.091339,?,?
426,'2018/02/16 21:30:19:904',12,418.509827,89.298317,?,?
427,'2018/02/16 21:30:20:405',12,89.376915,337.481873,?,?
428,'2018/02/16 21:30:20:910',12,116.354172,349.353668,?,?
429,'2018/02/16 21:30:21:411',12,154.933685,518.279053,?,?
430,'2018/02/16 21:30:21:911',12,171.216293,635.599243,?,?
431,'2018/02/16 21:30:22:413',12,145.756607,682.900146,?,?
432,'2018/02/16 21:30:22:914',12,143.574203,812.177979,?,?
433,'2018/02/16 21:30:23:417',12,439.462738,705.181335,?,?
434,'2018/02/16 21:30:23:920',12,449.994263,706.519348,?,?
435,'2018/02/16 21:30:24:421',12,448.598999,860.746582,?,?
436,'2018/02/16 21:30:24:922',12,448.121124,985.794128,?,?
437,'2018/02/16 21:30:25:423',12,379.225281,625.823242,?,?
438,'2018/02/16 21:30:25:925',12,400.761292,424.949402,?,?
439,'2018/02/16 21:30:26:425',12,477.973419,84.473862,?,?
440,'2018/02/16 21:30:26:926',12,515.620667,42.696968,?,?
441,'2018/02/16 21:30:27:428',12,59.649105,20.79635,?,?
442,'2018/02/16 21:30:27:929',12,86.321365,43.322735,?,?
443,'2018/02/16 21:30:28:431',12,-9.952023,184.839905,?,?
444,'2018/02/16 21:30:28:932',12,-14.825148,188.189743,?,?
445,'2018/02/16 21:30:29:432',12,8.364637,286.145264,?,?
446,'2018/02/16 21:30:29:933',12,371.858856,310.733643,?,?
447,'2018/02/16 21:30:30:434',12,360.288055,520.068848,?,?
448,'2018/02/16 21:30:30:934',12,353.894135,513.660583,?,?
449,'2018/02/16 21:30:31:436',12,367.330261,520.143738,?,?
450,'2018/02/16 21:30:31:938',12,820.787842,519.226379,?,?
451,'2018/02/16 21:30:32:439',12,1085.822388,561.377625,?,?
452,'2018/02/16 21:30:38:460',13,1702.290771,770.820984,?,?
453,'2018/02/16 21:30:38:961',13,1710.133545,775.629395,?,?
454,'2018/02/16 21:30:39:462',13,1691.473633,779.138,?,?
455,'2018/02/16 21:30:39:966',13,1704.536133,791.538513,?,?
456,'2018/02/16 21:30:40:467',13,1704.944946,800.885193,?,?
457,'2018/02/16 21:30:40:969',13,1663.842529,854.942139,?,?
